benchmark, optlevel, base_cost, base_cycles, base_size, base_energy, base_time, opt_cost, opt_cycles, opt_ram, opt_size, opt_energy, opt_time, iter_cost, iter_cycles, iter_ram, iter_size, iter_energy, iter_time
2dfir, O0, 2153624100, 21536241, 4732, 0.00320028777591, 0.229099206349,1899913580, 28786556, 544, 4776, 0.00306695877867, 0.276341269841, 73731332, 1117128, 544, 4776, 0.00306034391148, 0.276341269841
2dfir, O1, 5298539600, 52985396, 4504, 0.00265622392467, 0.180166666667,4403561384, 66713248, 372, 4552, 0.00265666183923, 0.219876984127, 34780492, 526938, 372, 4552, 0.00265751138593, 0.219857142857
2dfir, O2, 5797438500, 57974385, 4488, 0.00266366854378, 0.178650793651,4716876054, 71460441, 324, 4520, 0.00263277679503, 0.216773809524, 31572692, 478336, 324, 4520, 0.002639029431, 0.216773809524
2dfir, O3, 625499800, 6254998, 5404, 0.00249120548614, 0.169361111111,579529768, 8780684, 1334, 5460, 0.00255315732053, 0.204317460317, 27315424, 413800, 1334, 5460, 0.00254753614988, 0.204317460317
2dfir, Os, 8672743000, 86727430, 4420, 0.00285334396601, 0.200170634921,7919455496, 119975840, 290, 4456, 0.00281032556193, 0.245301587302, 48106122, 728842, 290, 4452, 0.00283978342567, 0.24528968254
blowfish, O0, 324285000, 3242850, 9308, 0.0182118377121, 1.52327380952,260459492, 3879888, 2290, 9416, 0.0172032547101, 1.72395634921, 1145416012, 13382056, 2290, 9380, 0.0171614395992, 1.72166269841
blowfish, O1, 319050300, 3190503, 7836, 0.00323637117633, 0.236734126984,239925558, 3446579, 874, 7916, 0.00297614924405, 0.31175, 108944912, 1549633, 874, 7916, 0.00296895992756, 0.311753968254
blowfish, O2, 446928900, 4469289, 7812, 0.00314708938139, 0.234833333333,320998550, 4635291, 886, 7884, 0.00292221217368, 0.29994047619, 108072938, 1542770, 886, 7884, 0.00292600115725, 0.299944444444
blowfish, O3, 446928900, 4469289, 7824, 0.0031750874963, 0.234801587302,320998550, 4635291, 898, 7896, 0.00291727646172, 0.299924603175, 108072938, 1542770, 898, 7896, 0.00292283205339, 0.299936507937
blowfish, Os, 11957195800, 119571958, 7732, 0.00343780971067, 0.253904761905,10432443908, 141617964, 778, 7800, 0.00301914000733, 0.3195, 115945202, 1654644, 778, 7800, 0.00303161953475, 0.31951984127
crc32, O0, 7478800, 74788, 3956, 0.0120995957209, 0.932329365079,6586308, 99689, 200, 3980, 0.0117305962449, 1.09601984127, 277363390, 4201537, 200, 3980, 0.0117081474232, 1.09602777778
crc32, O1, 1454533500, 14545335, 3812, 0.00993156063327, 0.735861111111,1120635590, 16971945, 110, 3840, 0.0099000820463, 0.866869047619, 121415086, 1838755, 110, 3840, 0.00992046564732, 0.866857142857
crc32, O2, 1454423700, 14544237, 3816, 0.00994407654183, 0.735896825397,1120563352, 16970851, 116, 3844, 0.00987426851783, 0.866785714286, 121407000, 1838633, 116, 3844, 0.00988938069173, 0.866880952381
crc32, O3, 14749600, 147496, 3852, 0.00992621348185, 0.735587301587,11334590, 171712, 150, 3880, 0.00987203910163, 0.866424603175, 121164738, 1835817, 150, 3868, 0.00993584107646, 0.866388888889
crc32, Os, 1696313500, 16963135, 3796, 0.0108442804399, 0.80123015873,1439855722, 21809747, 98, 3824, 0.0104269740221, 0.915873015873, 155992626, 2362789, 98, 3824, 0.0104329988698, 0.915904761905
cubic, O0, 23805718300, 238057183, 18688, 0.0251384253743, 1.7779484127,17207337832, 246859592, 2216, 18808, 0.0251411082746, 1.79800396825, 33202298, 411533, 2216, 18808, 0.0251232534346, 1.79797619048
cubic, O1, 511432873700, 5114328737, 17616, 0.0240224606734, 1.6921031746,466969911076, 5862634989, 1212, 17744, 0.0239492101168, 1.70623412698, 24168428, 293401, 1212, 17744, 0.0239732895137, 1.70611507937
cubic, O2, 520844913800, 5208449138, 17624, 0.0240892766185, 1.69225,475381857674, 5978755392, 1220, 17720, 0.0239513764957, 1.70622222222, 24057670, 254056, 1220, 17668, 0.0239324504873, 1.69478174603
cubic, O3, 520844913800, 5208449138, 17624, 0.0240885801739, 1.69213888889,475381857674, 5978755392, 1220, 17720, 0.0239531017185, 1.70631349206, 24057670, 254056, 1220, 17668, 0.0239331873567, 1.6950515873
cubic, Os, 518664529400, 5186645294, 17688, 0.0239633703549, 1.69401190476,486425464696, 6157416106, 1134, 17812, 0.0240718703015, 1.70732936508, 24775880, 262440, 1134, 17724, 0.0240199081503, 1.69646428571
dijkstra, O0, 103049288800, 1030492888, 7896, 0.0296132474517, 2.48251587302,100268627456, 1507379305, 1138, 7944, 0.0243824545373, 2.86718650794, 1458482520, 20392814, 1138, 7940, 0.024766948665, 2.84411111111
dijkstra, O1, 7966723568900, 79667235689, 7272, 0.0145168917704, 1.11576984127,7422425280432, 112225255742, 592, 7332, 0.0128773752511, 1.39001190476, 690155336, 9877810, 592, 7332, 0.0128864076757, 1.38982539683
dijkstra, O2, 9096364941900, 90963649419, 7352, 0.014477168724, 1.09792063492,8173425008036, 123640249475, 658, 7404, 0.0126166753516, 1.37554761905, 658370408, 9412092, 658, 7388, 0.0127428566838, 1.35198015873
dijkstra, O3, 8518997608800, 85189976088, 7512, 0.0128001945806, 0.969948412698,7630252196112, 115605858360, 796, 7572, 0.0114389082418, 1.25038888889, 595025976, 8986268, 796, 7552, 0.0114694517684, 1.2504047619
dijkstra, Os, 7445971782400, 74459717824, 7212, 0.0195830944475, 1.49563888889,6959137828868, 105215722236, 434, 7264, 0.0162341234337, 1.70417460317, 894088838, 13026564, 434, 7264, 0.0162726260849, 1.70409920635
fdct, O0, 24175400, 241754, 4496, 0.0440008257613, 3.76842857143,22947996, 347581, 1594, 4516, 0.0358415107064, 4.5621468254, 3204140292, 32074319, 1594, 4508, 0.0439229906191, 3.77434920635
fdct, O1, 27239309800, 272393098, 3756, 0.0139922051159, 0.981103174603,21815883782, 330519310, 906, 3780, 0.0115660797271, 1.34420238095, 640792390, 9618226, 906, 3780, 0.0115710444169, 1.34417063492
fdct, O2, 36073297500, 360732975, 3792, 0.0162949180939, 1.12357936508,33556540694, 508405787, 952, 3816, 0.0136817291428, 1.59966269841, 963053076, 14492526, 952, 3816, 0.0136848975047, 1.59966269841
fdct, O3, 342246100, 3422461, 4584, 0.0154951629103, 1.01687301587,307496916, 4658987, 1710, 4604, 0.0133471115014, 1.54148412698, 829188028, 12563422, 1710, 4596, 0.0132824746736, 1.54145634921
fdct, Os, 32315038100, 323150381, 3652, 0.0165962844357, 1.1818452381,28038661690, 424814593, 750, 3676, 0.0136354509982, 1.56900396825, 784959244, 11842666, 750, 3676, 0.0136415926944, 1.56902380952
float_matmult, O0, 708736600, 7087366, 5500, 0.0404587067279, 2.97703174603,515631108, 7791239, 888, 5584, 0.0383276130448, 3.42423015873, 846636376, 12284457, 888, 5584, 0.0382574688985, 3.42418253968
float_matmult, O1, 321597747900, 3215977479, 5084, 0.0314509254801, 2.13611111111,291749056124, 4283279117, 542, 5168, 0.0315838320549, 2.5231547619, 343973820, 4918337, 542, 5168, 0.0316349144099, 2.52318650794
float_matmult, O2, 319212506500, 3192125065, 5172, 0.0313491467364, 2.12849603175,265473362608, 4022295307, 624, 5268, 0.0310274566923, 2.46910714286, 290484088, 4397957, 624, 5268, 0.0312184902006, 2.46921031746
float_matmult, O3, 2451925900, 24519259, 8532, 0.0295904799065, 2.00876587302,2078935502, 30997276, 3896, 8720, 0.0298947604063, 2.34107936508, 194888022, 2924465, 3896, 8788, 0.0299095479423, 2.34098015873
float_matmult, Os, 363823683800, 3638236838, 4964, 0.0318556521435, 2.21323809524,320232581230, 4727322850, 388, 5052, 0.0320741462389, 2.58704365079, 370810214, 5352318, 388, 5052, 0.0321006744161, 2.5866031746
int_matmult, O0, 695142400, 6951424, 4892, 0.0429343377499, 3.71698809524,506430932, 7652900, 600, 4936, 0.0325921816285, 4.24102777778, 521725280, 7884104, 600, 4936, 0.0325677159911, 4.24073809524
int_matmult, O1, 229531794900, 2295317949, 4640, 0.0141430246155, 0.942948412698,223918579356, 2345029159, 432, 4700, 0.0141153414886, 0.990869047619, 54006645216, 643025261, 432, 4676, 0.0141634301549, 0.989428571429
int_matmult, O2, 192361347700, 1923613477, 4660, 0.0122769367802, 0.916869047619,179990985846, 2727112887, 452, 4708, 0.00968942323191, 1.1526468254, 697057856, 10560117, 452, 4708, 0.00967146452044, 1.15264285714
int_matmult, O3, 1834134200, 18341342, 5000, 0.0106127167739, 0.793988095238,1629457884, 24688694, 734, 5028, 0.00777187961161, 0.954944444444, 1308108744, 19819780, 734, 5020, 0.00776847835072, 0.955
int_matmult, Os, 270649672100, 2706496721, 4516, 0.0171486958524, 1.2293968254,255544145326, 3747116535, 288, 4584, 0.0143018730718, 1.74425396825, 33997246672, 514581249, 288, 4572, 0.0143540159306, 1.74420238095
